name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
K550im,Sony,False,False,False,False,"2007, February",Discontinued,85 g (3.00 oz),102,46,14 mm (4.02,Mini-SIM,"TFD, 256K colors","1.9 inches, 11.4 cm2(~24.2% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),24.2%,,Removable Li-Po 950 mAh battery (BST-33),About 110 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,Jet Black,,"2.0, A2DP",,True,False,,GSM,,,,
W888,Sony,False,False,False,False,"2007, February",Discontinued,72 g (2.54 oz),103,46.5,9.5 mm (4.06,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.0 cm2(~20.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~222 ppi density)",20.9%,,Removable Li-Ion battery,About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~222 ppi density)",222 ppi density),No,"Flame Black, Steel Silver",,"2.0, A2DP",,True,False,,GSM,,,,
W200,Sony,False,False,False,False,"2007, January",Discontinued,85 g (3.00 oz),101,44,18 mm (3.98,Mini-SIM,"UBC, 65K colors","1.8 inches, 10.2 cm2(~22.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),22.9%,,Removable Li-Ion battery,About 50 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Rythm Black, Pulse White, Grey, Sweet Pink, Aquatic White, Mono Blue",,No,,True,False,,GSM,,,,
Z310,Sony,False,False,False,False,"2006, December",Discontinued,90 g (3.17 oz),87,46,24.5 mm (3.43,Mini-SIM,"STN, 65K colors",,128 x 160 pixels,,,Removable Li-Ion 780 mAh battery (BST-36),About 80 EUR,,128 x 160 pixels,,No,"Jetset Black, Lush Pink, Brush Bronze",,Yes,,True,False,,GSM,,,,
W830,Sony,False,False,False,False,"2006, September",Discontinued,116 g (4.09 oz),98,47,21 mm (3.86,Mini-SIM,"TFT, 256K colors","2.0 inches, 30 x 40 mm, 12.4 cm2(~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",26.9%,,Removable Li-Po 900 mAh battery,About 160 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Precious Black, Golden White",,"2.0, A2DP",,True,False,,GSM,,,,
K320,Sony,False,False,False,False,"2006, September",Discontinued,82 g (2.89 oz),101,44,18 mm (3.98,Mini-SIM,"UBC, 65K colors","1.7 inches, 28 x 34 mm, 9.1 cm2(~20.5% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),20.5%,,Removable Li-Ion 750 mAh battery (BST-36),About 50 EUR,,128 x 160 pixels (~121 ppi density),121 ppi density),No,"Light Brown, Graphite Grey, Misty Silver",,2.0,,True,False,,GSM,,,,
Z558,Sony,False,False,False,False,"2006, September",Discontinued,93 g (3.28 oz),87.5,45.5,20.5 mm (3.44,Mini-SIM,"TFT resistive touchscreen, 256K colors","1.9 inches, 11.4 cm2(~28.5% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),28.5%,,Removable Li-Ion battery,About 120 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Sterling Black, Pearl Copper",,Yes,,True,False,,GSM,,,,
Z610,Sony,False,False,False,False,"2006, August",Discontinued,110 g (3.88 oz),94.5,49,20 mm (3.72,Mini-SIM,"TFD, 256K colors",,176 x 220 pixels,,,Removable Li-Ion 950 mAh battery (BST-33),About 110 EUR,,176 x 220 pixels,,No,"Luster Black, Airy Blue, Rose Pink",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
K618,Sony,False,False,False,False,"2006, August",Discontinued,89 g (3.14 oz),102,45.2,16.9 mm (4.02,Mini-SIM,"TFT, 256K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.6% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),24.6%,,Removable Li-Ion battery,About 110 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Vibrant Black, Bright White",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
W850,Sony,False,False,False,False,"2006, May. Released 2006, September",Discontinued,116 g (4.09 oz),98,47,21 mm (3.86,Mini-SIM,"TFT, 256K colors","2.0 inches, 30 x 40 mm, 12.4 cm2(~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",26.9%,,Removable Li-Po 950 mAh battery (BST-33),About 200 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Precious Black, Golden White",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
W710,Sony,False,False,False,False,"2006, May",Discontinued,101 g (3.56 oz),88,48,24.5 mm (3.46,Mini-SIM,"TFT, 256K colors","1.9 inches, 31 x 38 mm, 11.4 cm2(~26.9% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),26.9%,,Removable Li-Po 900 mAh battery (BST-37),About 130 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Performance Graphite, Hatha Violet",,"2.0, A2DP",,True,False,,GSM,,,,
Z710,Sony,False,False,False,False,"2006, May",Discontinued,101 g (3.56 oz),88,48,24.5 mm (3.46,Mini-SIM,"TFT, 256K colors","1.9 inches, 31 x 38 mm, 11.4 cm2(~26.9% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),26.9%,,Removable Li-Po 900 mAh battery (BST-37),About 130 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Twilight Black, Metallic Sand",,"2.0, A2DP",,True,False,,GSM,,,,
Z550,Sony,False,False,False,False,"2006, May",Discontinued,93 g (3.28 oz),87.5,45.4,20 mm (3.44,Mini-SIM,"TFT, 256K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~28.6% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),28.6%,,Removable Li-Ion 750 mAh battery,About 110 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Sterling Black, Pearl Copper",,Yes,,True,False,,GSM,,,,
W700,Sony,False,False,False,False,"2006, April",Discontinued,99 g (3.49 oz),100,46,20.5 mm (3.94,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),22.2%,,Removable Li-Ion battery,About 130 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,Titanium Gold,,2.0,,True,False,,GSM,,,,
Z525,Sony,False,False,False,False,"2006, April",Discontinued,94 g (3.32 oz),83,46,24 mm (3.27,Mini-SIM,"TFT, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2(~26.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),26.7%,,Removable Li-Ion battery,About 90 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,New Blue,,2.0,,True,False,,GSM,,,,
K800,Sony,False,False,False,False,"2006, February. Released 2006, June",Discontinued,115 g (4.06 oz),105,47,22 mm (4.13,Mini-SIM,"TFT, 256K colors","2.0 inches, 30 x 40 mm, 12.4 cm2(~25.1% screen-to-body ratio)","240 x 320 pixels, 2.0 inch, 4:3 ratio (~200 ppi density)",25.1%,,Removable Li-Po 900 mAh battery (BST-33),About 150 EUR,,"240 x 320 pixels, 2.0 inch, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Velvet Black, Allure Brown",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
K790,Sony,False,False,False,False,"2006, February",Discontinued,115 g (4.06 oz),105,47,22 mm (4.13,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~25.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",25.1%,,Removable Li-Po 900 mAh battery (BST-33),About 150 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Velvet Black, Allure Brown",,"2.0, A2DP",,True,False,,GSM,,,,
V630,Sony,False,False,False,False,"2006, May",Discontinued,91 g (3.21 oz),102,45.7,16.9 mm (4.02,Mini-SIM,"TFT, 256K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.4% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),24.4%,,Removable Li-Ion battery,,,176 x 220 pixels (~148 ppi density),148 ppi density),No,Vibrant Black,,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
W300,Sony,False,False,False,False,"2006, February",Discontinued,94 g (3.32 oz),90,47,24 mm (3.54,Mini-SIM,"TFT, 256K colors","1.66 inches, 8.7 cm2(~20.5% screen-to-body ratio)",128 x 160 pixels (~123 ppi density),20.5%,,Removable Li-Po 900 mAh battery,About 100 EUR,,128 x 160 pixels (~123 ppi density),123 ppi density),No,"Shadow Black, Shimmering White, Lime Green",,Yes,,True,False,,GSM,,,,
