name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
D750,Sony,False,False,False,False,"2005, Q1",Discontinued,99 g (3.49 oz),100,46,20.5 mm (3.94,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),22.2%,,Removable Li-Po 900 mAh battery (BST-36),About 140 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,"Black, Silver",,2.0,,True,False,,GSM,,,,
J300,Sony,False,False,False,False,"2005, Q1",Discontinued,78 g (2.75 oz),99.1,42.6,18.2 mm (3.90,Mini-SIM,"STN, 65K colors","1.5 inches, 27 x 27 mm, 7.3 cm2(~17.2% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",17.2%,,Removable Li-Ion 750 mAh battery (BST-36),About 70 EUR,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",121 ppi density),No,"Plucky Pink, Sensitive White, Midnight Grey",,No,,True,False,,GSM,,,,
V600,Sony,False,False,False,False,"2005, June",Discontinued,105 g (3.70 oz),105,45.5,19.5 mm (4.13,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~21.3% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),21.3%,,Removable Li-Ion battery,,,176 x 220 pixels (~157 ppi density),157 ppi density),No,"Moonlight Silver, Black",,2.0,,False,False,,GSM / UMTS,,,,
K600,Sony,False,False,False,False,"2005, Q1",Discontinued,105 g (3.70 oz),104.3,45,18.9 mm (4.11,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~21.7% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),21.7%,,Removable Li-Ion 900 mAh battery (BST-37),About 100 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,Aluminium Silver,,2.0,,False,False,,GSM / UMTS,,,,
Z800,Sony,False,False,False,False,"2005, Q1",Discontinued,128 g (4.52 oz),102,49,23.6 mm (4.02,Mini-SIM,"TFT, 256K colors","2.2 inches, 35 x 44 mm, 15.2 cm2(~30.5% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),30.5%,,Removable Li-Ion 900 mAh battery (BST-33),,,176 x 220 pixels (~128 ppi density),128 ppi density),No,,,1.1,,False,False,,GSM / UMTS,,,,
K300,Sony,False,False,False,False,"2004, Q4",Discontinued,85 g (3.00 oz),99.9,45.2,19.4 mm (3.93,Mini-SIM,"CSTN, 65K colors","1.6 inches, 29 x 29 mm, 8.3 cm2(~18.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",18.3%,,Removable Li-Ion 670 mAh battery (BST-30),About 90 EUR,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",113 ppi density),No,2 - Visual Blue and Smooth Silver,,No,,False,False,,GSM,,,,
J200,Sony,False,False,False,False,"2004, Q4",Discontinued,74 g (2.61 oz),101,43,19 mm (3.98,Mini-SIM,"STN, 4096 colors","1.6 inches, 8.3 cm2(~19.0% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",19.0%,,Removable Li-Ion 670 mAh battery,About 40 EUR,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",113 ppi density),No,,,No,,False,False,,GSM,,,,
T290,Sony,False,False,False,False,"2004, Q4",Discontinued,73 g (2.57 oz),101,44,19 mm (3.98,Mini-SIM,"STN, 4096 colors","1.45 inches, 6.6 cm2(~14.9% screen-to-body ratio)",101 x 80 pixels (~89 ppi density),14.9%,,Removable Li-Ion 700 mAh battery (BST-30),About 40 EUR,,101 x 80 pixels (~89 ppi density),89 ppi density),No,,,No,,True,False,,GSM,,,,
V800,Sony,False,False,False,False,"2004, Q3",Discontinued,128 g (4.52 oz),102,49,24 mm (4.02,Mini-SIM,"TFT, 256K colors","2.2 inches, 35 x 44 mm, 15.2 cm2(~30.5% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),30.5%,,Removable Li-Ion battery,,,176 x 220 pixels (~128 ppi density),128 ppi density),No,"Ebony Black, Ceramic White, Pure Copper",,1.1,,False,False,,GSM / UMTS,,,,
P910,Sony,False,False,False,False,"2004, Q3",Discontinued,150 g (5.29 oz),115,58,26 mm (4.53,,"TFT resistive touchscreen, 256K colors","2.9 inches, 40 x 62 mm, 24.8 cm2(~37.2% screen-to-body ratio)","208 x 320 pixels, 3:2 ratio (~132 ppi density)",37.2%,"Symbian 7.0, UIQ v2.1 UI",Removable Li-Po 1000 mAh battery (BST-15),,,"208 x 320 pixels, 3:2 ratio (~132 ppi density)",132 ppi density),No,Urban Grey,,1.1,,False,False,,GSM,,,,
S710,Sony,False,False,False,False,"2004, Q3",Discontinued,137 g (4.83 oz),107.5,49,24.5 mm (4.23,Mini-SIM,"TFT, 256K colors","2.3 inches, 35 x 46 mm, 16.4 cm2(~31.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~174 ppi density)",31.1%,,Removable Li-Ion 780 mAh battery,,,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",174 ppi density),No,Onyx Black,,1.1,,False,False,,GSM,,,,
K508,Sony,False,False,False,False,"2004, Q3",Discontinued,88 g (3.10 oz),103,45.5,19.5 mm (4.06,Mini-SIM,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.2% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),24.2%,,Removable Li-Ion 700 mAh battery (BST-30),,,128 x 160 pixels (~108 ppi density),108 ppi density),No,"2 - Lunar Silver, Twilight Black",,No,,False,False,,GSM,,,,
K500,Sony,False,False,False,False,"2004, Q3",Discontinued,80 g (2.82 oz),102,46,14 mm (4.02,Mini-SIM,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.2% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),24.2%,,Removable Li-Ion battery,,,128 x 160 pixels (~108 ppi density),108 ppi density),No,"2 - Virtual Silver, Cosmetic Blue",,No,,False,False,,GSM,,,,
F500i,Sony,False,False,False,False,"2004, Q2",Discontinued,80 g (2.82 oz),102,46,14 mm (4.02,Mini-SIM,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.2% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),24.2%,,Removable Li-Ion battery,,,128 x 160 pixels (~108 ppi density),108 ppi density),No,3,,No,,False,False,,GSM,,,,
S700,Sony,False,False,False,False,"2004, March",Discontinued,137 g (4.83 oz),107,49,24 mm (4.21,Mini-SIM,"TFT, 256K colors","2.3 inches, 35 x 46 mm, 16.4 cm2(~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~174 ppi density)",31.2%,,Removable Li-Ion battery,,,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",174 ppi density),No,,,1.1,,False,False,,GSM,,,,
K700,Sony,False,False,False,False,"2004, March",Discontinued,93 g (3.28 oz),99,46,19 mm (3.90,Mini-SIM,"TFT, 65K colors","1.78 inches, 10.0 cm2(~21.9% screen-to-body ratio)","176 x 220 pixels, 7 lines (~158 ppi density)",21.9%,,Removable Li-Po battery,,Mediatek MT6592 (28 nm),"176 x 220 pixels, 7 lines (~158 ppi density)",158 ppi density),No,"Optic Silver, Blue Tinted Silver",,1.1,,True,False,Mediatek MT6592 (28 nm),GSM,,,,
Z500,Sony,False,False,False,False,"2004, March",Discontinued,110 g (3.88 oz),93,49,24 mm (3.66,Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,,,Removable Li-Ion battery,,,128 x 160 pixels,,No,,,No,,False,False,,GSM,,,,
T630,Sony,False,False,False,False,"2003, Q4",Discontinued,92 g (3.25 oz),102,43,17 mm (4.02,Mini-SIM,"TFT, 65K colors","1.78 inches, 10.0 cm2(~22.7% screen-to-body ratio)",128 x 160 pixels (~115 ppi density),22.7%,,Removable Li-Po 750 mAh battery,,,128 x 160 pixels (~115 ppi density),115 ppi density),No,"Frosty Silver, Black",,1.0b,,False,False,,GSM,,,,
P900,Sony,False,False,False,False,"2003, Q4",Discontinued,150 g (5.29 oz),115,57,24 mm (4.53,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.9 inches, 40 x 62 mm, 24.8 cm2(~37.8% screen-to-body ratio)","208 x 320 pixels, 3:2 ratio (~132 ppi density)",37.8%,"Symbian 7.0, UIQ v2.1 UI",Removable Li-Po 1000 mAh battery,,,"208 x 320 pixels, 3:2 ratio (~132 ppi density)",132 ppi density),No,Urban Grey,,Yes,,False,False,,GSM,,,,
Z600,Sony,False,False,False,False,"2003, Q3",Discontinued,110 g (3.88 oz),90,48,28 mm (3.54,Mini-SIM,"TFD, 65K colors",,128 x 160 pixels,,,Removable Li-Ion 780 mAh battery (BST-27),,,128 x 160 pixels,,No,,,1.0b,,False,False,,GSM,,,,
Z200,Sony,False,False,False,False,"2003, Q3",Discontinued,98 g (3.46 oz),96,52,25 mm (3.78,Mini-SIM,"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,Removable Li-Ion battery,,,"128 x 128 pixels, 1:1 ratio",,No,"4 - Velvet Blue, Cosmo Silver, Frosty White, Pulse Red",,No,,False,False,,GSM,,,,
T230,Sony,False,False,False,False,"2003, Q3",Discontinued,79 g (2.79 oz),101,44,19 mm (3.98,Mini-SIM,"STN, 4096 colors","1.5 inches, 7.1 cm2(~15.9% screen-to-body ratio)",101 x 80 pixels (~86 ppi density),15.9%,,Removable Li-Ion 670 mAh battery (BST-30),,,101 x 80 pixels (~86 ppi density),86 ppi density),No,"2 - Blade Gray, Steel Blue",,No,,False,False,,GSM,,,,
Z1010,Sony,False,False,False,False,"2003, Q4",Discontinued,144 g (5.08 oz),98.5,54.5,29 mm (3.88,Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2(~28.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),28.4%,,Removable Li-Po 1000 mAh battery (BST-15),,,176 x 220 pixels (~128 ppi density),128 ppi density),No,,,1.1,,False,False,,GSM / UMTS,,,,
T610,Sony,False,False,False,False,"2003, Q2",Discontinued,95 g (3.35 oz),102,44,19 mm (4.02,Mini-SIM,"STN, 65K colors","1.8 inches, 10.2 cm2(~22.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),22.7%,,Removable Li-Ion 770 mAh battery (BST-25),,,128 x 160 pixels (~114 ppi density),114 ppi density),No,3,,1.0b,,False,False,,GSM,,,,
T310,Sony,False,False,False,False,"2003, March",Discontinued,97 g (3.42 oz),104,49,19 mm (4.09,Mini-SIM,"STN, 256 colors",,"101 x 80 pixels, 6 lines",,,Removable Li-Po battery,,,"101 x 80 pixels, 6 lines",,No,"3 -  Flaming Gold, Fashion Blue, Funky Purple",,No,,False,False,,GSM,,,,
T105,Sony,False,False,False,False,"2003, Q2",Discontinued,75 g (2.65 oz),99,43.5,17.7 mm (3.90,Mini-SIM,"Grayscale graphics, 4 shades",1.4 inches,,,,Removable Li-Ion 700 mAh battery,,,,,No,"2 - Steel Grey, Vibrant Turquoise",,No,,False,False,,GSM,,,,
T100,Sony,False,False,False,False,"2002, Q4",Discontinued,75 g (2.65 oz),99,43.5,17.7 mm (3.90,Mini-SIM,"Grayscale graphics, 4 shades",,,,,Removable Li-Po battery,,,,,No,"4 - Icy Blue, Gentle Gold, Fresh White, Soft Silver",,No,,False,False,,GSM,,,,
T600,Sony,False,False,False,False,"2002, Oct",Discontinued,60 g (2.12 oz),92,41,20 mm (3.62,Mini-SIM,"Grayscale graphics, 4 shades",,101 x 80 pixels,,,Removable Li-Po battery,,,101 x 80 pixels,,No,"3 - Moonlight silver, Marine Blue and Gold",,No,,False,False,,GSM,,,,
T300,Sony,False,False,False,False,"2002, Oct",Discontinued,101 g (3.56 oz),106,48,22 mm (4.17,Mini-SIM,"STN, 256 colors",,"101 x 80 pixels, 6 lines",,,Removable Li-Ion 700 mAh battery (BST-22),,,"101 x 80 pixels, 6 lines",,No,"3 -  Icy Blue, Midnight Red, Mystical Green",,No,,False,False,,GSM,,,,
T200,Sony,False,False,False,False,"2002, Oct",Discontinued,85 g (3.00 oz),105,48,22 mm (4.13,Mini-SIM,"Grayscale graphics, 4 shades",,,,,Removable Li-Ion 700 mAh battery (BST-24),,,,,No,,,No,,False,False,,GSM,,,,
P800,Sony,False,False,False,False,"2002, September",Discontinued,158 g (5.57 oz),117,59,27 mm (4.61,Mini-SIM,"TFT resistive touchscreen, 4096 colors","2.9 inches, 40 x 62 mm, 24.8 cm2(~35.9% screen-to-body ratio)","208 x 320 pixels, 3:2 ratio (~132 ppi density)",35.9%,"Symbian 7.0, UIQ v2.0 UI",Removable Li-Po 1000 mAh battery (BST-15),,,"208 x 320 pixels, 3:2 ratio (~132 ppi density)",132 ppi density),No,,,Yes,,False,False,,GSM,,,,
Z700,Sony,False,False,False,False,"2002, September",Cancelled,95 g (3.35 oz),91,50,"24 mm, 90 cc (3.58",Mini-SIM,"STN, 256 colors",,,,,Removable Li-Po battery,,,,,No,,,Yes,,True,False,,GSM,,,,
T68i,Sony,False,False,False,False,"2002, April",Discontinued,84 g (2.96 oz),101,48,19.5 mm (3.98,Mini-SIM,"STN, 256 colors",,101 x 80 pixels,,,Removable Li-Ion 700 mAh battery (BST-14),,,101 x 80 pixels,,No,Arctic Blue,,1.0b,,False,False,,GSM,,,,
Xperia Duo,Sony,False,False,False,False,Not officially announced yet,Cancelled,-,-,,,Mini-SIM,"LED-backlit LCD,","4.5 inches, 60.3 cm2","540 x 960 pixels, 3:2 ratio (~256 ppi density)",,Android 2.3 (Gingerbread),Removable Li-Po 2500 mAh battery,,Qualcomm MSM8260 Snapdragon S3,"540 x 960 pixels, 3:2 ratio (~256 ppi density)",256 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Black,"Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 220,True,True,Qualcomm MSM8260 Snapdragon S3,GSM / HSPA,,,1.5GB RAM,1.5GB RAM
Windows Phone 7,Sony,False,False,False,False,Not officially announced yet,Cancelled,-,-,,,,TFT,,,,Microsoft Windows Phone 7,Removable Li-Po battery,,,,,Wi-Fi 802.11 b/g/n,Black,Accelerometer,"2.1, A2DP",,True,True,,GSM / HSPA,,,,
